strategy,entry_ts,exit_ts,side,entry_price,exit_price,bars_held,net_return,combo
v10,2025-06-08 06:00:00+00:00,2025-06-09 12:00:00+00:00,long,35.088,37.426,5,0.06508946477467403,rs4_w1
v10,2025-06-26 18:00:00+00:00,2025-06-28 12:00:00+00:00,short,36.397,36.878,7,-0.014442199844919124,rs4_w1
v10,2025-06-28 18:00:00+00:00,2025-06-30 00:00:00+00:00,long,37.308,39.778,5,0.06477396471193964,rs4_w1
v10,2025-07-01 18:00:00+00:00,2025-07-02 00:00:00+00:00,short,38.7,36.91,1,0.04535322997416036,rs4_w1
v10,2025-07-04 00:00:00+00:00,2025-07-04 06:00:00+00:00,long,40.253,39.237,1,-0.026290354756167145,rs4_w1
v10,2025-07-04 06:00:00+00:00,2025-07-07 00:00:00+00:00,short,39.237,39.829,11,-0.0170448982703999,rs4_w1
v10,2025-07-07 06:00:00+00:00,2025-07-07 18:00:00+00:00,long,39.713,39.108,2,-0.01632244014469486,rs4_w1
v10,2025-07-07 18:00:00+00:00,2025-07-09 12:00:00+00:00,short,39.108,39.297,7,-0.008840516762811057,rs4_w1
v10,2025-07-09 12:00:00+00:00,2025-07-14 12:00:00+00:00,long,39.297,48.398,20,0.22749308869577112,rs4_w1
v10,2025-07-14 12:00:00+00:00,2025-07-19 06:00:00+00:00,short,48.398,44.773,19,0.07658124349027862,rs4_w1
v10,2025-07-20 00:00:00+00:00,2025-07-20 12:00:00+00:00,short,44.478,45.644,2,-0.02666562141678419,rs4_w1
v10,2025-07-20 18:00:00+00:00,2025-07-22 00:00:00+00:00,long,46.4,44.324,5,-0.046214224779326685,rs4_w1
v10,2025-07-22 00:00:00+00:00,2025-07-23 00:00:00+00:00,short,44.324,46.273,4,-0.04714542397529442,rs4_w1
v10,2025-07-23 06:00:00+00:00,2025-07-23 18:00:00+00:00,short,44.399,43.069,2,0.029534052113751263,rs4_w1
v10,2025-07-24 18:00:00+00:00,2025-07-25 06:00:00+00:00,short,42.597,42.009,2,0.0130424409062313,rs4_w1
v10,2025-07-26 06:00:00+00:00,2025-07-30 00:00:00+00:00,long,44.731,43.485,15,-0.029656374813875175,rs4_w1
v10,2025-07-30 00:00:00+00:00,2025-07-31 06:00:00+00:00,short,43.485,43.259,5,0.0025806768580904915,rs4_w1
v10,2025-08-01 00:00:00+00:00,2025-08-01 06:00:00+00:00,short,40.824,40.453,1,0.00791347149519872,rs4_w1
v10,2025-08-04 18:00:00+00:00,2025-08-05 18:00:00+00:00,long,38.535,38.772,4,0.0048985686550560015,rs4_w1
v10,2025-08-06 00:00:00+00:00,2025-08-06 12:00:00+00:00,long,38.497,37.479,2,-0.02739929762734572,rs4_w1
v10,2025-08-06 12:00:00+00:00,2025-08-06 18:00:00+00:00,short,37.479,38.84,1,-0.03811366898796664,rs4_w1
v10,2025-08-07 00:00:00+00:00,2025-08-11 18:00:00+00:00,long,38.077,43.737,19,0.14607018255341186,rs4_w1
v10,2025-08-12 12:00:00+00:00,2025-08-13 12:00:00+00:00,short,42.757,46.536,4,-0.08851468676164731,rs4_w1
v10,2025-08-18 00:00:00+00:00,2025-08-18 06:00:00+00:00,short,46.041,43.844,1,0.0468683380030841,rs4_w1
v10,2025-08-21 06:00:00+00:00,2025-08-21 12:00:00+00:00,long,42.627,41.062,1,-0.03777696987941925,rs4_w1
v10,2025-08-21 12:00:00+00:00,2025-08-22 06:00:00+00:00,short,41.062,41.842,3,-0.021979490374486543,rs4_w1
v10,2025-08-22 12:00:00+00:00,2025-08-26 00:00:00+00:00,long,41.739,42.979,14,0.02561289799085098,rs4_w1
v10,2025-08-26 00:00:00+00:00,2025-08-26 18:00:00+00:00,short,42.979,47.655,3,-0.10446267620587657,rs4_w1
v10,2025-09-01 00:00:00+00:00,2025-09-01 18:00:00+00:00,long,44.284,43.668,3,-0.015096759418782746,rs4_w1
v10,2025-09-01 18:00:00+00:00,2025-09-02 06:00:00+00:00,short,43.668,44.483,2,-0.02112942910532356,rs4_w1
v10,2025-09-02 12:00:00+00:00,2025-09-06 18:00:00+00:00,long,44.315,45.943,17,0.034203856083227846,rs4_w1
v10,2025-09-06 18:00:00+00:00,2025-09-07 12:00:00+00:00,short,45.943,47.194,3,-0.028484724033736808,rs4_w1
v10,2025-09-07 18:00:00+00:00,2025-09-09 18:00:00+00:00,long,47.109,52.41,8,0.1081461049300898,rs4_w1
v10,2025-09-12 12:00:00+00:00,2025-09-17 06:00:00+00:00,short,55.692,54.688,19,0.01467737430922722,rs4_w1
v10,2025-09-17 06:00:00+00:00,2025-09-19 06:00:00+00:00,long,54.688,56.96,8,0.037934249519057994,rs4_w1
v10,2025-09-19 18:00:00+00:00,2025-09-22 12:00:00+00:00,short,55.833,48.869,11,0.14000718855262018,rs4_w1
v10,2025-10-01 18:00:00+00:00,2025-10-02 06:00:00+00:00,long,46.959,49.079,2,0.04400609976313641,rs4_w1
v10,2025-10-04 12:00:00+00:00,2025-10-07 12:00:00+00:00,short,48.228,45.96,12,0.04586324885478166,rs4_w1
v10,2025-10-08 12:00:00+00:00,2025-10-09 00:00:00+00:00,short,45.945,46.645,2,-0.015911052613773236,rs4_w1
v10,2025-10-09 06:00:00+00:00,2025-10-09 12:00:00+00:00,long,45.72,44.279,1,-0.03257539525809261,rs4_w1
v10,2025-10-10 06:00:00+00:00,2025-10-10 18:00:00+00:00,short,43.924,42.849,2,0.022126238026298095,rs4_w1
v10,2025-10-21 18:00:00+00:00,2025-10-22 00:00:00+00:00,short,37.39,35.345,1,0.05379376838726935,rs4_w1
v10,2025-10-29 12:00:00+00:00,2025-10-31 00:00:00+00:00,short,49.182,45.389,6,0.07507578446297303,rs4_w1
v10,2025-11-10 18:00:00+00:00,2025-11-11 06:00:00+00:00,long,41.705,40.188,2,-0.03744350364814131,rs4_w1
v10,2025-11-11 06:00:00+00:00,2025-11-12 00:00:00+00:00,short,40.188,38.683,3,0.03617563226811371,rs4_w1
v10,2025-11-14 06:00:00+00:00,2025-11-14 12:00:00+00:00,short,37.096,36.871,1,0.005165343972395764,rs4_w1
v10,2025-11-15 18:00:00+00:00,2025-11-16 12:00:00+00:00,long,38.791,39.267,3,0.011102358712687055,rs4_w1
v10,2025-11-17 18:00:00+00:00,2025-11-18 18:00:00+00:00,long,37.711,38.567,4,0.02146033023443117,rs4_w1
v10,2025-11-29 00:00:00+00:00,2025-11-29 12:00:00+00:00,short,34.923,35.716,2,-0.023582244493185134,rs4_w1
v10,2025-11-29 18:00:00+00:00,2025-12-01 00:00:00+00:00,short,34.455,31.934,5,0.07386655786428076,rs4_w1
v10,2025-12-08 18:00:00+00:00,2025-12-09 00:00:00+00:00,long,29.778,29.483,1,-0.010883472487742574,rs4_w1
v10,2025-12-09 00:00:00+00:00,2025-12-09 06:00:00+00:00,short,29.483,28.098,1,0.04517622358647366,rs4_w1
v10,2025-12-12 00:00:00+00:00,2025-12-12 18:00:00+00:00,long,29.128,29.436,3,0.009376261985712508,rs4_w1
v10,2025-12-14 18:00:00+00:00,2025-12-15 18:00:00+00:00,long,28.894,27.383,4,-0.05348318993440804,rs4_w1
v10,2025-12-15 18:00:00+00:00,2025-12-16 06:00:00+00:00,short,27.383,26.541,2,0.02818573683985881,rs4_w1
v10,2025-12-22 06:00:00+00:00,2025-12-23 18:00:00+00:00,long,24.876,24.162,6,-0.029964166679639637,rs4_w1
v10,2025-12-23 18:00:00+00:00,2025-12-24 18:00:00+00:00,short,24.162,24.389,4,-0.011466836637922473,rs4_w1
v10,2025-12-25 00:00:00+00:00,2025-12-27 06:00:00+00:00,long,25.156,25.991,9,0.03151506236733348,rs4_w1
v10,2025-12-27 12:00:00+00:00,2025-12-28 18:00:00+00:00,long,26.095,25.341,5,-0.030095376644577843,rs4_w1
v10,2025-12-28 18:00:00+00:00,2025-12-29 18:00:00+00:00,short,25.341,26.166,4,-0.03445737150756589,rs4_w1
v10,2025-12-30 00:00:00+00:00,2025-12-30 06:00:00+00:00,short,25.79,26.152,1,-0.014910778235750488,rs4_w1
v10,2025-12-30 12:00:00+00:00,2026-01-02 06:00:00+00:00,short,25.885,24.724,11,0.04259792733744683,rs4_w1
v10,2026-01-02 12:00:00+00:00,2026-01-03 18:00:00+00:00,short,24.466,24.909,5,-0.019325053138690707,rs4_w1
v10,2026-01-04 00:00:00+00:00,2026-01-07 12:00:00+00:00,long,25.377,27.031,14,0.06336854061876718,rs4_w1
v10,2026-01-07 18:00:00+00:00,2026-01-09 12:00:00+00:00,short,26.727,25.505,7,0.045768684915489244,rs4_w1
v10,2026-01-11 12:00:00+00:00,2026-01-12 00:00:00+00:00,short,24.441,24.432,2,-0.0006560817189923407,rs4_w1
v10,2026-01-12 06:00:00+00:00,2026-01-12 18:00:00+00:00,long,24.838,23.441,2,-0.05727351943118253,rs4_w1
v10,2026-01-13 00:00:00+00:00,2026-01-13 06:00:00+00:00,short,23.75,24.397,1,-0.028092575263157782,rs4_w1
v10,2026-01-13 12:00:00+00:00,2026-01-15 06:00:00+00:00,long,24.309,25.099,7,0.030958468185362964,rs4_w1
v10,2026-01-16 06:00:00+00:00,2026-01-17 18:00:00+00:00,short,24.882,25.691,6,-0.032671868718373576,rs4_w1
v10,2026-01-18 00:00:00+00:00,2026-01-19 00:00:00+00:00,long,25.418,24.455,4,-0.03907749142001349,rs4_w1
v10,2026-01-19 00:00:00+00:00,2026-01-19 12:00:00+00:00,short,24.455,24.101,2,0.012365058392944661,rs4_w1
v10,2026-01-23 12:00:00+00:00,2026-01-25 12:00:00+00:00,long,21.237,22.501,8,0.05820820289605755,rs4_w1
v10,2026-02-09 18:00:00+00:00,2026-02-10 12:00:00+00:00,short,31.905,29.54,3,0.07690710267027923,rs4_w1
v10,2026-02-14 18:00:00+00:00,2026-02-15 18:00:00+00:00,long,30.872,31.014,4,0.00386921319826361,rs4_w1
v10,2026-02-15 18:00:00+00:00,2026-02-20 06:00:00+00:00,short,31.014,29.48,18,0.04382310285357738,rs4_w1
v10,2026-02-20 06:00:00+00:00,2026-02-22 18:00:00+00:00,long,29.48,28.933,10,-0.020895566331510684,rs4_w1
v10,2026-02-22 18:00:00+00:00,2026-02-24 18:00:00+00:00,short,28.933,26.848,8,0.06962270440473417,rs4_w1
v10,2026-02-27 18:00:00+00:00,2026-02-28 00:00:00+00:00,long,27.458,27.28,1,-0.00738419801369361,rs4_w1
v10,2026-03-05 12:00:00+00:00,2026-03-06 18:00:00+00:00,short,31.796,29.714,5,0.06662263497616072,rs4_w1
v10,2026-03-07 18:00:00+00:00,2026-03-09 00:00:00+00:00,short,30.835,30.685,5,0.00357772700109682,rs4_w1
v10,2026-03-09 06:00:00+00:00,2026-03-13 18:00:00+00:00,long,31.03,36.65,18,0.18127767163475794,rs4_w1
v10,2026-03-14 12:00:00+00:00,2026-03-16 12:00:00+00:00,short,36.894,39.514,8,-0.06984575562844375,rs4_w1
v10,2026-03-16 18:00:00+00:00,2026-03-19 06:00:00+00:00,long,38.766,41.303,10,0.06405873515083682,rs4_w1
v10,2026-03-22 00:00:00+00:00,2026-03-24 12:00:00+00:00,short,39.134,38.596,10,0.011111834844426793,rs4_w1
v10,2026-03-24 18:00:00+00:00,2026-03-25 12:00:00+00:00,long,39.049,41.345,3,0.057788427048028,rs4_w1
v10,2026-03-27 00:00:00+00:00,2026-03-28 12:00:00+00:00,short,39.149,39.516,6,-0.011007667696544154,rs4_w1
v10,2026-03-28 18:00:00+00:00,2026-03-29 18:00:00+00:00,long,39.764,38.804,4,-0.025043740836197204,rs4_w1
v10,2026-03-29 18:00:00+00:00,2026-04-01 12:00:00+00:00,short,38.804,37.232,11,0.03678248331190037,rs4_w1
v10,2026-04-01 18:00:00+00:00,2026-04-02 00:00:00+00:00,long,36.416,36.025,1,-0.011737038664323296,rs4_w1
v10,2026-04-02 00:00:00+00:00,2026-04-03 12:00:00+00:00,short,36.025,35.943,6,-0.00039609475468638244,rs4_w1
v10,2026-04-03 18:00:00+00:00,2026-04-12 06:00:00+00:00,long,35.658,40.931,34,0.14533870523689685,rs4_w1
v10,2026-04-12 12:00:00+00:00,2026-04-13 18:00:00+00:00,short,40.388,43.248,5,-0.06864635013475251,rs4_w1
v10,2026-04-14 00:00:00+00:00,2026-04-14 12:00:00+00:00,long,44.278,44.773,2,0.010383447426333126,rs4_w1
v10,2026-04-15 18:00:00+00:00,2026-04-16 06:00:00+00:00,short,44.303,45.535,2,-0.028519958063554784,rs4_w1
v10,2026-04-16 12:00:00+00:00,2026-04-22 12:00:00+00:00,short,44.59,41.019,24,0.08064002655086577,rs4_w1
v10,2026-04-22 18:00:00+00:00,2026-04-28 06:00:00+00:00,long,40.85,41.158,22,0.005573508686984141,rs4_w1
v10,2026-04-28 06:00:00+00:00,2026-05-01 12:00:00+00:00,short,41.158,40.682,13,0.007642541187367735,rs4_w1
v10,2026-05-01 12:00:00+00:00,2026-05-07 00:00:00+00:00,long,40.682,43.103,22,0.0563331247664518,rs4_w1
v10,2026-05-07 00:00:00+00:00,2026-05-09 06:00:00+00:00,short,43.103,44.163,9,-0.02593182370056002,rs4_w1
v10,2026-05-09 12:00:00+00:00,2026-05-10 00:00:00+00:00,long,43.743,42.91,2,-0.019995210084773896,rs4_w1
v10,2026-05-10 00:00:00+00:00,2026-05-14 18:00:00+00:00,short,42.91,43.777,19,-0.04015846608182594,rs4_w1
v10,2026-05-27 00:00:00+00:00,2026-05-28 00:00:00+00:00,short,59.578,57.747,4,0.025589446872160027,rs4_w1
v10,2026-06-03 18:00:00+00:00,2026-06-06 00:00:00+00:00,short,73.754,59.772,9,0.21378691781570436,rs4_w1
v10,2026-06-14 18:00:00+00:00,2026-06-15 00:00:00+00:00,long,59.77,63.864,1,0.06754590095365565,rs4_w1
v10,2026-06-21 06:00:00+00:00,2026-06-25 00:00:00+00:00,short,69.433,63.945,15,0.0710343514467826,rs4_w1
v10_no_mfeu,2025-06-08 06:00:00+00:00,2025-06-09 12:00:00+00:00,long,35.088,37.426,5,0.06508946477467403,
v10_no_mfeu,2025-06-26 18:00:00+00:00,2025-06-28 12:00:00+00:00,short,36.397,36.878,7,-0.014442199844919124,
v10_no_mfeu,2025-06-28 18:00:00+00:00,2025-06-30 00:00:00+00:00,long,37.308,39.778,5,0.06477396471193964,
v10_no_mfeu,2025-07-01 18:00:00+00:00,2025-07-02 00:00:00+00:00,short,38.7,36.91,1,0.04535322997416036,
v10_no_mfeu,2025-07-04 00:00:00+00:00,2025-07-04 06:00:00+00:00,long,40.253,39.237,1,-0.026290354756167145,
v10_no_mfeu,2025-07-04 06:00:00+00:00,2025-07-07 00:00:00+00:00,short,39.237,39.829,11,-0.0170448982703999,
v10_no_mfeu,2025-07-07 06:00:00+00:00,2025-07-07 18:00:00+00:00,long,39.713,39.108,2,-0.01632244014469486,
v10_no_mfeu,2025-07-07 18:00:00+00:00,2025-07-09 06:00:00+00:00,short,39.108,39.226,6,-0.007092976607917412,
v10_no_mfeu,2025-07-09 12:00:00+00:00,2025-07-10 06:00:00+00:00,long,39.297,41.538,3,0.05577480215043251,
v10_no_mfeu,2025-07-14 06:00:00+00:00,2025-07-14 12:00:00+00:00,long,49.671,48.398,1,-0.026628636427694197,
v10_no_mfeu,2025-07-14 12:00:00+00:00,2025-07-19 00:00:00+00:00,short,48.398,44.332,18,0.08728849921478932,
v10_no_mfeu,2025-07-20 00:00:00+00:00,2025-07-20 12:00:00+00:00,short,44.478,45.644,2,-0.02666562141678419,
v10_no_mfeu,2025-07-20 18:00:00+00:00,2025-07-22 00:00:00+00:00,long,46.4,44.324,5,-0.046214224779326685,
v10_no_mfeu,2025-07-22 00:00:00+00:00,2025-07-23 00:00:00+00:00,short,44.324,46.273,4,-0.04714542397529442,
v10_no_mfeu,2025-07-23 06:00:00+00:00,2025-07-23 18:00:00+00:00,short,44.399,43.069,2,0.029534052113751263,
v10_no_mfeu,2025-07-24 18:00:00+00:00,2025-07-25 06:00:00+00:00,short,42.597,42.009,2,0.0130424409062313,
v10_no_mfeu,2025-07-26 06:00:00+00:00,2025-07-30 00:00:00+00:00,long,44.731,43.485,15,-0.029656374813875175,
v10_no_mfeu,2025-07-30 00:00:00+00:00,2025-07-31 00:00:00+00:00,short,43.485,42.225,4,0.027642685516090504,
v10_no_mfeu,2025-08-01 00:00:00+00:00,2025-08-01 06:00:00+00:00,short,40.824,40.453,1,0.00791347149519872,
v10_no_mfeu,2025-08-04 18:00:00+00:00,2025-08-05 18:00:00+00:00,long,38.535,38.772,4,0.0048985686550560015,
v10_no_mfeu,2025-08-06 00:00:00+00:00,2025-08-06 12:00:00+00:00,long,38.497,37.479,2,-0.02739929762734572,
v10_no_mfeu,2025-08-06 12:00:00+00:00,2025-08-06 18:00:00+00:00,short,37.479,38.84,1,-0.03811366898796664,
v10_no_mfeu,2025-08-07 00:00:00+00:00,2025-08-08 12:00:00+00:00,long,38.077,41.435,6,0.08671062373637595,
v10_no_mfeu,2025-08-12 12:00:00+00:00,2025-08-13 12:00:00+00:00,short,42.757,46.536,4,-0.08851468676164731,
v10_no_mfeu,2025-08-18 00:00:00+00:00,2025-08-18 06:00:00+00:00,short,46.041,43.844,1,0.0468683380030841,
v10_no_mfeu,2025-08-21 06:00:00+00:00,2025-08-21 12:00:00+00:00,long,42.627,41.062,1,-0.03777696987941925,
v10_no_mfeu,2025-08-21 12:00:00+00:00,2025-08-22 06:00:00+00:00,short,41.062,41.842,3,-0.021979490374486543,
v10_no_mfeu,2025-08-22 12:00:00+00:00,2025-08-23 00:00:00+00:00,long,41.739,45.335,2,0.08500191967731041,
v10_no_mfeu,2025-08-25 18:00:00+00:00,2025-08-26 00:00:00+00:00,long,45.515,42.979,1,-0.05671789519938486,
v10_no_mfeu,2025-08-26 00:00:00+00:00,2025-08-26 18:00:00+00:00,short,42.979,47.655,3,-0.10446267620587657,
v10_no_mfeu,2025-09-01 00:00:00+00:00,2025-09-01 18:00:00+00:00,long,44.284,43.668,3,-0.015096759418782746,
v10_no_mfeu,2025-09-01 18:00:00+00:00,2025-09-02 06:00:00+00:00,short,43.668,44.483,2,-0.02112942910532356,
v10_no_mfeu,2025-09-02 12:00:00+00:00,2025-09-06 18:00:00+00:00,long,44.315,45.943,17,0.034203856083227846,
v10_no_mfeu,2025-09-06 18:00:00+00:00,2025-09-07 12:00:00+00:00,short,45.943,47.194,3,-0.028484724033736808,
v10_no_mfeu,2025-09-07 18:00:00+00:00,2025-09-08 12:00:00+00:00,long,47.109,50.498,3,0.07051575281052491,
v10_no_mfeu,2025-09-12 12:00:00+00:00,2025-09-17 00:00:00+00:00,short,55.692,54.456,18,0.01891639282005264,
v10_no_mfeu,2025-09-17 06:00:00+00:00,2025-09-18 06:00:00+00:00,long,54.688,58.439,4,0.06721623944279953,
v10_no_mfeu,2025-09-19 18:00:00+00:00,2025-09-21 12:00:00+00:00,short,55.833,52.501,7,0.0629694754357708,
v10_no_mfeu,2025-10-01 18:00:00+00:00,2025-10-02 06:00:00+00:00,long,46.959,49.079,2,0.04400609976313641,
v10_no_mfeu,2025-10-04 12:00:00+00:00,2025-10-07 12:00:00+00:00,short,48.228,45.96,12,0.04586324885478166,
v10_no_mfeu,2025-10-08 12:00:00+00:00,2025-10-09 00:00:00+00:00,short,45.945,46.645,2,-0.015911052613773236,
v10_no_mfeu,2025-10-09 06:00:00+00:00,2025-10-09 12:00:00+00:00,long,45.72,44.279,1,-0.03257539525809261,
v10_no_mfeu,2025-10-10 06:00:00+00:00,2025-10-10 18:00:00+00:00,short,43.924,42.849,2,0.022126238026298095,
v10_no_mfeu,2025-10-21 18:00:00+00:00,2025-10-22 00:00:00+00:00,short,37.39,35.345,1,0.05379376838726935,
v10_no_mfeu,2025-10-29 12:00:00+00:00,2025-10-30 18:00:00+00:00,short,49.182,44.158,5,0.10584841446179971,
v10_no_mfeu,2025-11-10 18:00:00+00:00,2025-11-11 06:00:00+00:00,long,41.705,40.188,2,-0.03744350364814131,
v10_no_mfeu,2025-11-11 06:00:00+00:00,2025-11-12 00:00:00+00:00,short,40.188,38.683,3,0.03617563226811371,
v10_no_mfeu,2025-11-14 06:00:00+00:00,2025-11-14 12:00:00+00:00,short,37.096,36.871,1,0.005165343972395764,
v10_no_mfeu,2025-11-15 18:00:00+00:00,2025-11-16 12:00:00+00:00,long,38.791,39.267,3,0.011102358712687055,
v10_no_mfeu,2025-11-17 18:00:00+00:00,2025-11-18 06:00:00+00:00,long,37.711,40.754,2,0.07955235492248902,
v10_no_mfeu,2025-11-29 00:00:00+00:00,2025-11-29 12:00:00+00:00,short,34.923,35.716,2,-0.023582244493185134,
v10_no_mfeu,2025-11-29 18:00:00+00:00,2025-12-01 00:00:00+00:00,short,34.455,31.934,5,0.07386655786428076,
v10_no_mfeu,2025-12-08 18:00:00+00:00,2025-12-09 00:00:00+00:00,long,29.778,29.483,1,-0.010883472487742574,
v10_no_mfeu,2025-12-09 00:00:00+00:00,2025-12-09 06:00:00+00:00,short,29.483,28.098,1,0.04517622358647366,
v10_no_mfeu,2025-12-12 00:00:00+00:00,2025-12-12 18:00:00+00:00,long,29.128,29.436,3,0.009376261985712508,
v10_no_mfeu,2025-12-14 18:00:00+00:00,2025-12-15 18:00:00+00:00,long,28.894,27.383,4,-0.05348318993440804,
v10_no_mfeu,2025-12-15 18:00:00+00:00,2025-12-16 06:00:00+00:00,short,27.383,26.541,2,0.02818573683985881,
v10_no_mfeu,2025-12-22 06:00:00+00:00,2025-12-23 18:00:00+00:00,long,24.876,24.162,6,-0.029964166679639637,
v10_no_mfeu,2025-12-23 18:00:00+00:00,2025-12-24 18:00:00+00:00,short,24.162,24.389,4,-0.011466836637922473,
v10_no_mfeu,2025-12-25 00:00:00+00:00,2025-12-27 06:00:00+00:00,long,25.156,25.991,9,0.03151506236733348,
v10_no_mfeu,2025-12-27 12:00:00+00:00,2025-12-28 18:00:00+00:00,long,26.095,25.341,5,-0.030095376644577843,
v10_no_mfeu,2025-12-28 18:00:00+00:00,2025-12-29 18:00:00+00:00,short,25.341,26.166,4,-0.03445737150756589,
v10_no_mfeu,2025-12-30 00:00:00+00:00,2025-12-30 06:00:00+00:00,short,25.79,26.152,1,-0.014910778235750488,
v10_no_mfeu,2025-12-30 12:00:00+00:00,2026-01-02 00:00:00+00:00,short,25.885,24.244,10,0.06369997232652902,
v10_no_mfeu,2026-01-02 12:00:00+00:00,2026-01-03 18:00:00+00:00,short,24.466,24.909,5,-0.019325053138690707,
v10_no_mfeu,2026-01-04 00:00:00+00:00,2026-01-05 06:00:00+00:00,long,25.377,26.272,5,0.03386438123349533,
v10_no_mfeu,2026-01-07 18:00:00+00:00,2026-01-09 12:00:00+00:00,short,26.727,25.505,7,0.045768684915489244,
v10_no_mfeu,2026-01-11 12:00:00+00:00,2026-01-12 00:00:00+00:00,short,24.441,24.432,2,-0.0006560817189923407,
v10_no_mfeu,2026-01-12 06:00:00+00:00,2026-01-12 18:00:00+00:00,long,24.838,23.441,2,-0.05727351943118253,
v10_no_mfeu,2026-01-13 00:00:00+00:00,2026-01-13 06:00:00+00:00,short,23.75,24.397,1,-0.028092575263157782,
v10_no_mfeu,2026-01-13 12:00:00+00:00,2026-01-14 06:00:00+00:00,long,24.309,25.799,3,0.06003207856124737,
v10_no_mfeu,2026-01-16 06:00:00+00:00,2026-01-17 18:00:00+00:00,short,24.882,25.691,6,-0.032671868718373576,
v10_no_mfeu,2026-01-18 00:00:00+00:00,2026-01-19 00:00:00+00:00,long,25.418,24.455,4,-0.03907749142001349,
v10_no_mfeu,2026-01-19 00:00:00+00:00,2026-01-19 06:00:00+00:00,short,24.455,23.902,1,0.020812962584338512,
v10_no_mfeu,2026-01-23 12:00:00+00:00,2026-01-23 18:00:00+00:00,long,21.237,22.736,1,0.06959912748928776,
v10_no_mfeu,2026-02-09 18:00:00+00:00,2026-02-10 12:00:00+00:00,short,31.905,29.54,3,0.07690710267027923,
v10_no_mfeu,2026-02-14 18:00:00+00:00,2026-02-15 18:00:00+00:00,long,30.872,31.014,4,0.00386921319826361,
v10_no_mfeu,2026-02-15 18:00:00+00:00,2026-02-19 18:00:00+00:00,short,31.014,28.381,16,0.0849511603177937,
v10_no_mfeu,2026-02-20 06:00:00+00:00,2026-02-22 18:00:00+00:00,long,29.48,28.933,10,-0.019961059282509352,
v10_no_mfeu,2026-02-22 18:00:00+00:00,2026-02-23 06:00:00+00:00,short,28.933,27.573,2,0.04464565356900918,
v10_no_mfeu,2026-02-27 18:00:00+00:00,2026-02-28 00:00:00+00:00,long,27.458,27.28,1,-0.00738419801369361,
v10_no_mfeu,2026-03-05 12:00:00+00:00,2026-03-06 18:00:00+00:00,short,31.796,29.714,5,0.06662263497616072,
v10_no_mfeu,2026-03-07 18:00:00+00:00,2026-03-09 00:00:00+00:00,short,30.835,30.685,5,0.00357772700109682,
v10_no_mfeu,2026-03-09 06:00:00+00:00,2026-03-09 18:00:00+00:00,long,31.03,34.306,2,0.10447622538002799,
v10_no_mfeu,2026-03-14 12:00:00+00:00,2026-03-16 12:00:00+00:00,short,36.894,39.514,8,-0.06984575562844375,
v10_no_mfeu,2026-03-16 18:00:00+00:00,2026-03-17 00:00:00+00:00,long,38.766,40.783,1,0.051034339494918424,
v10_no_mfeu,2026-03-22 00:00:00+00:00,2026-03-24 12:00:00+00:00,short,39.134,38.596,10,0.011111834844426793,
v10_no_mfeu,2026-03-24 18:00:00+00:00,2026-03-25 12:00:00+00:00,long,39.049,41.345,3,0.057788427048028,
v10_no_mfeu,2026-03-27 00:00:00+00:00,2026-03-28 12:00:00+00:00,short,39.149,39.516,6,-0.011007667696544154,
v10_no_mfeu,2026-03-28 18:00:00+00:00,2026-03-29 18:00:00+00:00,long,39.764,38.804,4,-0.025043740836197204,
v10_no_mfeu,2026-03-29 18:00:00+00:00,2026-03-31 12:00:00+00:00,short,38.804,35.805,7,0.07858343456396955,
v10_no_mfeu,2026-04-01 18:00:00+00:00,2026-04-02 00:00:00+00:00,long,36.416,36.025,1,-0.011737038664323296,
v10_no_mfeu,2026-04-02 00:00:00+00:00,2026-04-03 12:00:00+00:00,short,36.025,35.943,6,-0.00039609475468638244,
v10_no_mfeu,2026-04-03 18:00:00+00:00,2026-04-08 12:00:00+00:00,long,35.658,39.265,19,0.0990489933679346,
v10_no_mfeu,2026-04-09 00:00:00+00:00,2026-04-09 18:00:00+00:00,long,38.738,40.103,3,0.03435001021671269,
v10_no_mfeu,2026-04-11 00:00:00+00:00,2026-04-11 12:00:00+00:00,long,41.576,42.372,2,0.018069367365653566,
v10_no_mfeu,2026-04-12 12:00:00+00:00,2026-04-13 18:00:00+00:00,short,40.388,43.248,5,-0.06864635013475251,
v10_no_mfeu,2026-04-14 00:00:00+00:00,2026-04-14 12:00:00+00:00,long,44.278,44.773,2,0.010383447426333126,
v10_no_mfeu,2026-04-15 18:00:00+00:00,2026-04-16 06:00:00+00:00,short,44.303,45.535,2,-0.028519958063554784,
v10_no_mfeu,2026-04-16 12:00:00+00:00,2026-04-20 00:00:00+00:00,short,44.59,40.703,14,0.09051135663762944,
v10_no_mfeu,2026-04-21 06:00:00+00:00,2026-04-21 18:00:00+00:00,short,41.005,39.515,2,0.03573607522431144,
v10_no_mfeu,2026-04-22 18:00:00+00:00,2026-04-28 06:00:00+00:00,long,40.85,41.158,22,0.005573508686984141,
v10_no_mfeu,2026-04-28 06:00:00+00:00,2026-05-01 06:00:00+00:00,short,41.158,40.142,12,0.021470208457878837,
v10_no_mfeu,2026-05-01 12:00:00+00:00,2026-05-07 00:00:00+00:00,long,40.682,43.103,22,0.0573299466743431,
v10_no_mfeu,2026-05-07 00:00:00+00:00,2026-05-09 06:00:00+00:00,short,43.103,44.163,9,-0.02593182370056002,
